jahr,quartal,gemeinde_nummer,gemeinde,bezirk_nummer,bezirk,anfangsbestand,geburten,todesfaelle,geburtenueberschuss,zuzuege,wegzuege,wanderungssaldo,bereinigung_saldo,gesamtveraenderung,endbestand
2019,3,2849,Itingen,1304,Bezirk Sissach,2175,5,2,3,32,39,-7,0,-4,2171
2019,3,2861,Sissach,1304,Bezirk Sissach,6688,12,15,-3,152,126,26,0,23,6711
2019,3,2895,Waldenburg,1305,Bezirk Waldenburg,1096,3,4,-1,39,28,11,0,10,1106
2019,2,2763,Arlesheim,1301,Bezirk Arlesheim,9111,20,21,-1,146,134,12,0,11,9122
2019,2,2770,Muttenz,1301,Bezirk Arlesheim,17942,42,47,-5,268,236,32,0,27,17969
2019,2,2821,Arisdorf,1303,Bezirk Liestal,1671,4,2,2,27,30,-3,0,-1,1670
2019,2,2822,Augst,1303,Bezirk Liestal,1039,1,5,-4,40,37,3,0,-1,1038
2019,2,2829,Liestal,1303,Bezirk Liestal,14415,29,24,5,296,264,32,0,37,14452
2019,2,2841,Anwil,1304,Bezirk Sissach,565,1,0,1,4,8,-4,0,-3,562
2019,2,2849,Itingen,1304,Bezirk Sissach,2170,4,4,0,32,27,5,0,5,2175
2019,2,2861,Sissach,1304,Bezirk Sissach,6702,12,13,-1,94,106,-12,-1,-14,6688
2019,2,2895,Waldenburg,1305,Bezirk Waldenburg,1089,2,3,-1,30,22,8,0,7,1096
2019,1,2763,Arlesheim,1301,Bezirk Arlesheim,9159,17,38,-21,105,132,-27,0,-48,9111
2019,1,2770,Muttenz,1301,Bezirk Arlesheim,17880,40,38,2,273,213,60,0,62,17942
2019,1,2821,Arisdorf,1303,Bezirk Liestal,1651,4,2,2,47,29,18,0,20,1671
2019,1,2822,Augst,1303,Bezirk Liestal,1024,3,3,0,30,15,15,0,15,1039
2019,1,2829,Liestal,1303,Bezirk Liestal,14414,26,32,-6,288,281,7,0,1,14415
2019,1,2841,Anwil,1304,Bezirk Sissach,567,2,1,1,4,7,-3,0,-2,565
2019,1,2849,Itingen,1304,Bezirk Sissach,2160,4,5,-1,46,35,11,0,10,2170
2019,1,2861,Sissach,1304,Bezirk Sissach,6699,20,18,2,139,138,1,0,3,6702
2019,1,2895,Waldenburg,1305,Bezirk Waldenburg,1086,3,2,1,25,23,2,0,3,1089
2018,4,2763,Arlesheim,1301,Bezirk Arlesheim,9181,10,22,-12,145,155,-10,0,-22,9159
2018,4,2770,Muttenz,1301,Bezirk Arlesheim,17884,38,33,5,271,280,-9,0,-4,17880
2018,4,2821,Arisdorf,1303,Bezirk Liestal,1656,1,8,-7,44,42,2,0,-5,1651
2018,4,2822,Augst,1303,Bezirk Liestal,1021,1,2,-1,23,19,4,0,3,1024
2018,4,2829,Liestal,1303,Bezirk Liestal,14347,33,30,3,334,270,64,0,67,14414
2018,4,2841,Anwil,1304,Bezirk Sissach,564,1,2,-1,10,6,4,0,3,567
2018,4,2849,Itingen,1304,Bezirk Sissach,2129,5,2,3,70,42,28,0,31,2160
2018,4,2861,Sissach,1304,Bezirk Sissach,6712,19,12,7,99,119,-20,0,-13,6699
2018,4,2895,Waldenburg,1305,Bezirk Waldenburg,1093,3,1,2,25,34,-9,0,-7,1086
2018,3,2763,Arlesheim,1301,Bezirk Arlesheim,9165,20,24,-4,182,162,20,0,16,9181
2018,3,2770,Muttenz,1301,Bezirk Arlesheim,17854,39,46,-7,295,258,37,0,30,17884
2018,3,2821,Arisdorf,1303,Bezirk Liestal,1656,2,6,-4,36,32,4,0,0,1656
2018,3,2822,Augst,1303,Bezirk Liestal,1027,1,2,-1,29,34,-5,0,-6,1021
