jahr,gemeinde_nummer,gemeinde,bfs_bezirk,bezirk,nationalitaet_code,nationalitaet,anzahl_personen
1990,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9431
1990,2829,Liestal,1303,Bezirk Liestal,2,Ausland,2945
1990,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,321
1990,2841,Anwil,1304,Bezirk Sissach,2,Ausland,14
1990,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1282
1990,2849,Itingen,1304,Bezirk Sissach,2,Ausland,144
1990,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4337
1990,2861,Sissach,1304,Bezirk Sissach,2,Ausland,764
1990,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,970
1990,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,281
1991,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6805
1991,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1701
1991,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14449
1991,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2541
1991,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1060
1991,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,56
1991,2822,Augst,1303,Bezirk Liestal,1,Schweiz,665
1991,2822,Augst,1303,Bezirk Liestal,2,Ausland,164
1991,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9429
1991,2829,Liestal,1303,Bezirk Liestal,2,Ausland,3061
1991,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,329
1991,2841,Anwil,1304,Bezirk Sissach,2,Ausland,17
1991,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1297
1991,2849,Itingen,1304,Bezirk Sissach,2,Ausland,140
1991,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4401
1991,2861,Sissach,1304,Bezirk Sissach,2,Ausland,816
1991,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,982
1991,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,301
1992,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6744
1992,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1685
1992,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14381
1992,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2553
1992,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1047
1992,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,53
1992,2822,Augst,1303,Bezirk Liestal,1,Schweiz,656
1992,2822,Augst,1303,Bezirk Liestal,2,Ausland,155
1992,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9372
1992,2829,Liestal,1303,Bezirk Liestal,2,Ausland,3172
1992,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,344
1992,2841,Anwil,1304,Bezirk Sissach,2,Ausland,19
1992,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1291
1992,2849,Itingen,1304,Bezirk Sissach,2,Ausland,140
1992,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4426
1992,2861,Sissach,1304,Bezirk Sissach,2,Ausland,884
1992,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,986
1992,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,325
1993,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6636
1993,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1652
1993,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14473
1993,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2627
1993,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1050
1993,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,73
1993,2822,Augst,1303,Bezirk Liestal,1,Schweiz,653
1993,2822,Augst,1303,Bezirk Liestal,2,Ausland,161
1993,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9361
1993,2829,Liestal,1303,Bezirk Liestal,2,Ausland,3132
1993,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,359
1993,2841,Anwil,1304,Bezirk Sissach,2,Ausland,19
1993,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1291
1993,2849,Itingen,1304,Bezirk Sissach,2,Ausland,147
1993,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4435
1993,2861,Sissach,1304,Bezirk Sissach,2,Ausland,861
1993,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,971
1993,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,329
1994,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6609
1994,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1696
1994,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14475
1994,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2620
1994,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1061
1994,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,79
1994,2822,Augst,1303,Bezirk Liestal,1,Schweiz,662
1994,2822,Augst,1303,Bezirk Liestal,2,Ausland,170
1994,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9365
1994,2829,Liestal,1303,Bezirk Liestal,2,Ausland,3179
1994,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,377
1994,2841,Anwil,1304,Bezirk Sissach,2,Ausland,18
1994,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1307
1994,2849,Itingen,1304,Bezirk Sissach,2,Ausland,168
1994,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4430
1994,2861,Sissach,1304,Bezirk Sissach,2,Ausland,870
1994,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,968
1994,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,345
1995,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6654
1995,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1695
1995,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14351
1995,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2631
1995,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1080
1995,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,87
1995,2822,Augst,1303,Bezirk Liestal,1,Schweiz,648
1995,2822,Augst,1303,Bezirk Liestal,2,Ausland,173
1995,2829,Liestal,1303,Bezirk Liestal,1,Schweiz,9418
1995,2829,Liestal,1303,Bezirk Liestal,2,Ausland,3238
1995,2841,Anwil,1304,Bezirk Sissach,1,Schweiz,407
1995,2841,Anwil,1304,Bezirk Sissach,2,Ausland,24
1995,2849,Itingen,1304,Bezirk Sissach,1,Schweiz,1333
1995,2849,Itingen,1304,Bezirk Sissach,2,Ausland,198
1995,2861,Sissach,1304,Bezirk Sissach,1,Schweiz,4406
1995,2861,Sissach,1304,Bezirk Sissach,2,Ausland,883
1995,2895,Waldenburg,1305,Bezirk Waldenburg,1,Schweiz,971
1995,2895,Waldenburg,1305,Bezirk Waldenburg,2,Ausland,374
1996,2763,Arlesheim,1301,Bezirk Arlesheim,1,Schweiz,6695
1996,2763,Arlesheim,1301,Bezirk Arlesheim,2,Ausland,1724
1996,2770,Muttenz,1301,Bezirk Arlesheim,1,Schweiz,14203
1996,2770,Muttenz,1301,Bezirk Arlesheim,2,Ausland,2583
1996,2821,Arisdorf,1303,Bezirk Liestal,1,Schweiz,1123
1996,2821,Arisdorf,1303,Bezirk Liestal,2,Ausland,91
1996,2822,Augst,1303,Bezirk Liestal,1,Schweiz,632
1996,2822,Augst,1303,Bezirk Liestal,2,Ausland,165
