jahr,bfs_nummer,gemeinde,falle,flache_in_m2,quadratmeterpreis_chf
2020,2763,Arlesheim,8,9500,1330
2020,2770,Muttenz,7,6100,1531
2020,2821,Arisdorf,( ),( ),( )
2020,2822,Augst,( ),( ),( )
2020,2829,Liestal,9,13600,1534
2020,2841,Anwil,( ),( ),( )
2020,2849,Itingen,16,5800,718
2020,2861,Sissach,10,5400,1109
2020,2895,Waldenburg,,,
2021,2763,Arlesheim,4,1700,1872
2021,2770,Muttenz,7,8800,1724
2021,2821,Arisdorf,( ),( ),( )
2021,2822,Augst,( ),( ),( )
2021,2829,Liestal,9,15100,964
2021,2841,Anwil,,,
2021,2849,Itingen,3,8200,659
2021,2861,Sissach,8,7000,1006
2021,2895,Waldenburg,( ),( ),( )
2022,2763,Arlesheim,3,2600,1265
2022,2770,Muttenz,22,6700,1868
2022,2821,Arisdorf,( ),( ),( )
2022,2822,Augst,,,
2022,2829,Liestal,10,2300,1552
2022,2841,Anwil,5,2700,386
2022,2849,Itingen,( ),( ),( )
2022,2861,Sissach,5,2000,1246
2022,2895,Waldenburg,4,8200,261
2023,2763,Arlesheim,4,14600,964
2023,2770,Muttenz,9,10900,2891
2023,2821,Arisdorf,( ),( ),( )
2023,2822,Augst,,,
2023,2829,Liestal,5,21900,538
2023,2841,Anwil,,,
2023,2849,Itingen,9,7100,782
2023,2861,Sissach,4,7200,1097
2023,2895,Waldenburg,( ),( ),( )
2024,2763,Arlesheim,4,3500,2708
2024,2770,Muttenz,4,3400,2580
2024,2821,Arisdorf,( ),( ),( )
2024,2822,Augst,,,
2024,2829,Liestal,5,3100,1279
2024,2841,Anwil,( ),( ),( )
2024,2849,Itingen,4,20500,685
2024,2861,Sissach,4,2600,1245
2024,2895,Waldenburg,,,
