jahr,bfs_nummer,gemeinde,haushaltsgrosse,wert
2015,2770,Muttenz,4_Personen,988
2015,2821,Arisdorf,4_Personen,116
2015,2822,Augst,4_Personen,28
2015,2829,Liestal,4_Personen,752
2015,2841,Anwil,4_Personen,44
2015,2849,Itingen,4_Personen,128
2015,2861,Sissach,4_Personen,385
2015,2895,Waldenburg,4_Personen,44
2015,2763,Arlesheim,5_Personen,155
2015,2770,Muttenz,5_Personen,301
2015,2821,Arisdorf,5_Personen,35
2015,2822,Augst,5_Personen,10
2015,2829,Liestal,5_Personen,283
2015,2841,Anwil,5_Personen,13
2015,2849,Itingen,5_Personen,37
2015,2861,Sissach,5_Personen,111
2015,2895,Waldenburg,5_Personen,29
2015,2763,Arlesheim,6_oder_mehr_Personen,37
2015,2770,Muttenz,6_oder_mehr_Personen,86
2015,2821,Arisdorf,6_oder_mehr_Personen,11
2015,2822,Augst,6_oder_mehr_Personen,4
2015,2829,Liestal,6_oder_mehr_Personen,84
2015,2841,Anwil,6_oder_mehr_Personen,3
2015,2849,Itingen,6_oder_mehr_Personen,9
2015,2861,Sissach,6_oder_mehr_Personen,39
2015,2895,Waldenburg,6_oder_mehr_Personen,14
2014,2763,Arlesheim,1_Person,1482
2014,2770,Muttenz,1_Person,2678
2014,2821,Arisdorf,1_Person,139
2014,2822,Augst,1_Person,166
2014,2829,Liestal,1_Person,2133
2014,2841,Anwil,1_Person,42
2014,2849,Itingen,1_Person,200
2014,2861,Sissach,1_Person,887
2014,2895,Waldenburg,1_Person,199
2014,2763,Arlesheim,2_Personen,1447
2014,2770,Muttenz,2_Personen,2827
2014,2821,Arisdorf,2_Personen,263
2014,2822,Augst,2_Personen,177
2014,2829,Liestal,2_Personen,2164
2014,2841,Anwil,2_Personen,74
2014,2849,Itingen,2_Personen,332
2014,2861,Sissach,2_Personen,979
2014,2895,Waldenburg,2_Personen,165
2014,2763,Arlesheim,3_Personen,537
2014,2770,Muttenz,3_Personen,991
2014,2821,Arisdorf,3_Personen,84
2014,2822,Augst,3_Personen,43
2014,2829,Liestal,3_Personen,776
2014,2841,Anwil,3_Personen,33
2014,2849,Itingen,3_Personen,133
2014,2861,Sissach,3_Personen,419
2014,2895,Waldenburg,3_Personen,66
2014,2763,Arlesheim,4_Personen,495
2014,2770,Muttenz,4_Personen,999
2014,2821,Arisdorf,4_Personen,108
2014,2822,Augst,4_Personen,26
2014,2829,Liestal,4_Personen,726
2014,2841,Anwil,4_Personen,50
2014,2849,Itingen,4_Personen,136
2014,2861,Sissach,4_Personen,361
2014,2895,Waldenburg,4_Personen,51
2014,2763,Arlesheim,5_Personen,150
2014,2770,Muttenz,5_Personen,297
2014,2821,Arisdorf,5_Personen,34
2014,2822,Augst,5_Personen,8
2014,2829,Liestal,5_Personen,280
2014,2841,Anwil,5_Personen,12
2014,2849,Itingen,5_Personen,39
2014,2861,Sissach,5_Personen,115
2014,2895,Waldenburg,5_Personen,28
2014,2763,Arlesheim,6_oder_mehr_Personen,37
2014,2770,Muttenz,6_oder_mehr_Personen,78
2014,2821,Arisdorf,6_oder_mehr_Personen,12
2014,2822,Augst,6_oder_mehr_Personen,3
2014,2829,Liestal,6_oder_mehr_Personen,86
2014,2841,Anwil,6_oder_mehr_Personen,4
2014,2849,Itingen,6_oder_mehr_Personen,7
