jahr,gemeinde_nummer,gemeinde,bfs_bezirk,bezirk,nationalitaet_code,nationalitaet,anzahl_personen
2002,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,3
2002,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,499
2002,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,58
2002,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1868
2002,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,434
2003,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7777
2003,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2224
2003,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15715
2003,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,3025
2003,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,100
2003,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,2
2003,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,497
2003,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,59
2003,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1876
2003,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,428
2004,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7764
2004,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2224
2004,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15631
2004,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,3038
2004,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,102
2004,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,0
2004,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,503
2004,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,55
2004,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1888
2004,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,429
2005,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7791
2005,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2171
2005,2773,Reinach (BL),1301,Bezirk Arlesheim,1,Schweiz,15624
2005,2773,Reinach (BL),1301,Bezirk Arlesheim,2,Ausland,3054
2005,2851,Kilchberg (BL),1304,Bezirk Sissach,1,Schweiz,106
2005,2851,Kilchberg (BL),1304,Bezirk Sissach,2,Ausland,1
2005,2857,Rickenbach (BL),1304,Bezirk Sissach,1,Schweiz,515
2005,2857,Rickenbach (BL),1304,Bezirk Sissach,2,Ausland,54
2005,2892,Oberdorf (BL),1305,Bezirk Waldenburg,1,Schweiz,1889
2005,2892,Oberdorf (BL),1305,Bezirk Waldenburg,2,Ausland,415
2006,2761,Aesch (BL),1301,Bezirk Arlesheim,1,Schweiz,7816
2006,2761,Aesch (BL),1301,Bezirk Arlesheim,2,Ausland,2171
