jahr,bfs_nummer,gemeinde,indikator,wert
2019,2886,Hölstein,Steuerbares_Einkommen_CHF,91767689.0
2019,2887,Lampenberg,Steuerbares_Einkommen_CHF,20859611.0
2019,2888,Langenbruck,Steuerbares_Einkommen_CHF,29593030.0
2019,2889,Lauwil,Steuerbares_Einkommen_CHF,10352184.0
2019,2890,Liedertswil,Steuerbares_Einkommen_CHF,5623760.0
2019,2891,Niederdorf,Steuerbares_Einkommen_CHF,66904420.0
2019,2893,Reigoldswil,Steuerbares_Einkommen_CHF,52549331.0
2019,2894,Titterten,Steuerbares_Einkommen_CHF,14719988.0
2019,2895,Waldenburg,Steuerbares_Einkommen_CHF,35420765.0
2018,2772,Pfeffingen,Anzahl_Steuerpflichtige,1350.0
2018,2774,Schönenbuch,Anzahl_Steuerpflichtige,835.0
2018,2775,Therwil,Anzahl_Steuerpflichtige,6042.0
2018,2781,Blauen,Anzahl_Steuerpflichtige,445.0
2018,2782,Brislach,Anzahl_Steuerpflichtige,1020.0
2018,2784,Dittingen,Anzahl_Steuerpflichtige,464.0
2018,2785,Duggingen,Anzahl_Steuerpflichtige,920.0
2018,2786,Grellingen,Anzahl_Steuerpflichtige,1141.0
2018,2787,Laufen,Anzahl_Steuerpflichtige,3616.0
2018,2792,Wahlen,Anzahl_Steuerpflichtige,929.0
2018,2821,Arisdorf,Anzahl_Steuerpflichtige,1007.0
2018,2824,Frenkendorf,Anzahl_Steuerpflichtige,3807.0
2018,2825,Füllinsdorf,Anzahl_Steuerpflichtige,2712.0
2018,2841,Anwil,Anzahl_Steuerpflichtige,338.0
2018,2842,Böckten,Anzahl_Steuerpflichtige,483.0
2018,2843,Buckten,Anzahl_Steuerpflichtige,399.0
2018,2844,Buus,Anzahl_Steuerpflichtige,655.0
2018,2845,Diepflingen,Anzahl_Steuerpflichtige,441.0
2018,2846,Gelterkinden,Anzahl_Steuerpflichtige,3819.0
2018,2847,Häfelfingen,Anzahl_Steuerpflichtige,157.0
2018,2848,Hemmiken,Anzahl_Steuerpflichtige,177.0
2018,2849,Itingen,Anzahl_Steuerpflichtige,1232.0
2018,2861,Sissach,Anzahl_Steuerpflichtige,4154.0
2018,2862,Tecknau,Anzahl_Steuerpflichtige,468.0
2018,2863,Tenniken,Anzahl_Steuerpflichtige,545.0
2018,2865,Wenslingen,Anzahl_Steuerpflichtige,433.0
2018,2866,Wintersingen,Anzahl_Steuerpflichtige,406.0
2018,2867,Wittinsburg,Anzahl_Steuerpflichtige,230.0
2018,2881,Arboldswil,Anzahl_Steuerpflichtige,351.0
2018,2882,Bennwil,Anzahl_Steuerpflichtige,372.0
2018,2885,Eptingen,Anzahl_Steuerpflichtige,331.0
2018,2889,Lauwil,Anzahl_Steuerpflichtige,208.0
2018,2895,Waldenburg,Anzahl_Steuerpflichtige,701.0
2018,2763,Arlesheim,Steuerbares_Einkommen_CHF,556788234.0
2018,2765,Binningen,Steuerbares_Einkommen_CHF,889708163.0
2018,2781,Blauen,Steuerbares_Einkommen_CHF,31044467.0
2018,2791,Röschenz,Steuerbares_Einkommen_CHF,80942667.0
2018,2821,Arisdorf,Steuerbares_Einkommen_CHF,70704006.0
2018,2823,Bubendorf,Steuerbares_Einkommen_CHF,170643582.0
2018,2824,Frenkendorf,Steuerbares_Einkommen_CHF,235539494.0
2018,2825,Füllinsdorf,Steuerbares_Einkommen_CHF,178420853.0
2018,2826,Giebenach,Steuerbares_Einkommen_CHF,41552322.0
2018,2827,Hersberg,Steuerbares_Einkommen_CHF,14528507.0
2018,2828,Lausen,Steuerbares_Einkommen_CHF,184687445.0
2018,2829,Liestal,Steuerbares_Einkommen_CHF,543631957.0
2018,2830,Lupsingen,Steuerbares_Einkommen_CHF,59708462.0
2018,2850,Känerkinden,Steuerbares_Einkommen_CHF,22319597.0
2018,2852,Läufelfingen,Steuerbares_Einkommen_CHF,45696947.0
2018,2853,Maisprach,Steuerbares_Einkommen_CHF,42526649.0
2018,2856,Ormalingen,Steuerbares_Einkommen_CHF,85312396.0
2018,2858,Rothenfluh,Steuerbares_Einkommen_CHF,27262711.0
2018,2859,Rümlingen,Steuerbares_Einkommen_CHF,12401577.0
2018,2860,Rünenberg,Steuerbares_Einkommen_CHF,28475149.0
2018,2861,Sissach,Steuerbares_Einkommen_CHF,287536006.0
2018,2862,Tecknau,Steuerbares_Einkommen_CHF,26493250.0
2018,2863,Tenniken,Steuerbares_Einkommen_CHF,35470593.0
2014,2774,Schönenbuch,Anzahl_Steuerpflichtige,852.0
2014,2775,Therwil,Anzahl_Steuerpflichtige,5950.0
2014,2781,Blauen,Anzahl_Steuerpflichtige,452.0
2014,2789,Nenzlingen,Anzahl_Steuerpflichtige,235.0
2014,2790,Roggenburg,Anzahl_Steuerpflichtige,196.0
2014,2792,Wahlen,Anzahl_Steuerpflichtige,872.0
2014,2823,Bubendorf,Anzahl_Steuerpflichtige,2631.0
2014,2825,Füllinsdorf,Anzahl_Steuerpflichtige,2674.0
2014,2826,Giebenach,Anzahl_Steuerpflichtige,634.0
2014,2859,Rümlingen,Anzahl_Steuerpflichtige,228.0
2014,2860,Rünenberg,Anzahl_Steuerpflichtige,464.0
2014,2861,Sissach,Anzahl_Steuerpflichtige,4046.0
2014,2862,Tecknau,Anzahl_Steuerpflichtige,466.0
2014,2863,Tenniken,Anzahl_Steuerpflichtige,537.0
2014,2864,Thürnen,Anzahl_Steuerpflichtige,822.0
